ProbeID X Y Z hemi
10_445 137.425537 119.915535 99.138763 lh
10_446 137.974548 120.311531 99.702759 lh
10_447 149.860565 120.810532 101.329758 lh
10_448 149.604553 120.651535 101.819748 lh
10_449 146.31456 121.884529 101.57576 lh
10_450 145.20256 121.834534 101.523758 lh
10_451 143.55455 121.668533 101.217758 lh
10_452 144.25856 121.748535 101.481766 lh
10_453 148.846542 121.537529 101.266754 lh
10_454 149.017563 121.269531 101.676758 lh
10_455 148.330551 121.68853 101.391754 lh
10_456 148.106552 121.59153 101.783752 lh
10_457 147.183563 121.891533 101.417755 lh
10_458 147.691559 121.793533 101.546753 lh
10_459 146.107559 102.819534 101.360748 lh
10_460 145.514572 102.173531 101.765747 lh
10_461 145.006546 102.331535 100.985748 lh
10_462 144.923569 101.820534 101.603745 lh
10_463 144.011566 101.990532 100.726746 lh
10_464 148.072556 104.567535 101.681747 lh
10_465 147.093552 103.402534 101.504745 lh
10_466 147.679565 103.815529 101.909744 lh
10_467 143.241562 101.78653 100.716751 lh
10_468 142.715561 102.00853 100.489746 lh
10_469 142.539566 101.477531 101.006744 lh
10_470 141.904556 101.96653 100.59375 lh
10_471 141.483551 101.412529 101.200745 lh
10_472 140.903564 102.012535 100.747757 lh
10_473 140.377579 101.530533 101.331757 lh
10_474 139.918564 102.153534 100.890762 lh
10_475 139.311569 101.699532 101.483765 lh
10_476 138.828537 102.434532 101.018753 lh
10_477 138.322571 101.876534 101.67276 lh
10_478 137.644562 102.434532 101.485764 lh
10_479 137.688568 101.960533 101.858765 lh
10_480 148.354553 105.245529 101.542755 lh
10_481 137.182541 103.088531 101.186752 lh
10_482 136.30455 103.698532 101.157761 lh
10_483 135.244553 103.492531 101.849762 lh
10_484 134.305557 104.256531 101.898758 lh
10_485 148.598557 105.866531 101.434753 lh
10_486 133.517563 104.708534 102.186752 lh
10_487 149.035553 106.926529 101.58075 lh
10_488 133.095566 105.405525 102.108765 lh
10_489 132.775558 106.206528 101.965759 lh
10_490 149.55954 107.891533 101.255753 lh
10_491 149.332565 107.82653 101.997757 lh
10_492 133.249542 106.670532 101.248764 lh
10_493 149.710556 108.400536 101.514755 lh
10_494 149.53656 108.610535 102.160751 lh
10_495 132.898544 107.526527 101.138763 lh
10_496 132.692551 108.089523 101.093765 lh
10_497 132.440552 107.721527 101.563766 lh
10_498 149.982559 109.134529 101.428757 lh
10_499 149.690552 109.492531 102.267746 lh
10_500 132.264557 108.413528 101.492752 lh
10_501 150.234558 110.16153 101.451752 lh
10_502 149.721558 110.41153 102.493744 lh
10_503 131.992554 109.288528 101.587753 lh
10_504 150.143555 111.182533 101.95575 lh
10_505 149.655563 111.36953 102.767746 lh
10_506 131.893555 110.160522 101.507751 lh
10_507 149.976562 112.009529 102.362747 lh
10_508 149.555557 112.317535 102.974747 lh
10_509 131.903564 111.011528 101.32576 lh
10_510 131.937546 111.818527 101.248764 lh
10_511 149.932556 112.791534 102.495758 lh
10_512 149.447556 113.298531 103.144745 lh
10_513 132.238541 112.426521 100.455765 lh
10_514 149.989563 113.909531 102.504745 lh
10_515 149.299561 114.422531 103.338745 lh
10_516 132.345551 113.336525 100.424759 lh
10_517 149.624557 115.070534 102.98175 lh
10_518 149.123566 115.568535 103.594757 lh
10_519 132.537537 114.253525 100.436752 lh
10_520 149.553558 116.073532 103.128754 lh
10_521 148.947556 116.768532 103.849747 lh
10_522 132.765549 115.119522 100.567764 lh
10_523 132.996536 115.892525 100.794754 lh
10_524 149.394562 117.400536 103.318756 lh
10_525 148.542557 117.895531 104.076752 lh
10_526 133.353546 116.528534 100.351761 lh
10_527 133.62854 117.180534 100.809753 lh
10_528 149.946564 118.287529 102.579758 lh
10_529 134.458542 118.180534 100.329758 lh
10_530 149.378555 119.351532 102.761749 lh
10_531 148.591553 118.82653 103.584747 lh
10_532 147.457565 119.268532 103.796753 lh
10_533 149.672562 119.978531 102.210754 lh
10_534 149.013565 120.705536 102.219757 lh
10_535 148.429565 120.162529 102.840744 lh
10_536 141.885559 121.256531 102.054764 lh
10_537 140.920563 120.960533 102.350754 lh
10_538 141.018555 121.266533 101.586761 lh
10_539 140.057556 120.992531 101.985764 lh
10_540 140.029541 121.115532 101.240753 lh
10_541 139.06456 120.857529 101.669754 lh
10_542 138.999542 120.878532 100.90976 lh
10_543 138.173553 120.630531 101.343765 lh
10_544 137.910538 120.512535 100.602753 lh
10_545 136.812546 119.954529 100.046753 lh
10_546 135.306549 118.802536 99.634766 lh
10_547 136.008545 119.344536 99.654755 lh
10_548 135.570541 119.245529 100.600754 lh
10_549 148.175552 121.148529 102.261765 lh
10_550 147.248566 121.63353 102.009766 lh
10_551 147.207565 120.915535 102.683762 lh
10_552 146.446564 121.46553 102.312759 lh
10_553 145.593552 121.511536 102.267761 lh
10_554 143.618561 121.449532 102.125763 lh
10_555 144.588562 121.483536 102.235764 lh
10_556 145.680573 101.931534 102.485748 lh
10_557 145.081573 101.617531 102.131744 lh
10_558 146.13356 102.398529 102.180756 lh
10_559 146.882553 102.811531 102.467758 lh
10_560 144.60257 101.392532 101.857758 lh
10_561 144.364578 101.586533 101.383759 lh
10_562 144.12558 101.043533 101.882751 lh
10_563 143.480576 101.209534 101.376755 lh
10_564 142.248581 100.761536 101.81575 lh
10_565 140.900574 100.932533 101.83075 lh
10_566 139.755569 101.093529 101.94075 lh
10_567 138.693573 101.283531 102.079758 lh
10_568 137.761581 101.558533 102.178757 lh
10_569 148.152557 104.567535 102.513748 lh
10_570 147.493561 103.39753 102.405746 lh
10_571 137.032578 101.999535 102.110764 lh
10_572 136.347565 102.749535 101.830765 lh
10_573 135.897568 102.11953 102.578766 lh
10_574 148.354553 105.171532 102.23175 lh
10_575 147.937561 103.977531 102.790756 lh
10_576 135.052551 102.84153 102.453766 lh
10_577 134.396561 103.525536 102.355759 lh
10_578 133.635559 104.02153 102.550766 lh
10_579 133.124557 103.838524 103.08876 lh
10_580 148.603561 105.93853 102.168747 lh
10_581 132.857559 104.692528 102.760757 lh
10_582 148.66156 106.333534 102.553757 lh
10_583 132.348557 105.728523 102.65976 lh
10_584 132.269562 106.504524 102.351761 lh
10_585 148.852554 107.064529 102.646744 lh
10_586 132.488556 107.011528 101.855759 lh
10_587 132.094559 106.916527 102.363754 lh
10_588 149.061554 107.915535 102.827759 lh
10_589 131.947556 107.553528 102.277756 lh
10_590 149.222565 108.801529 102.964752 lh
10_591 131.610565 108.539528 102.446762 lh
10_592 149.278564 109.711533 103.135757 lh
10_593 131.493561 109.582527 102.426758 lh
10_594 149.270554 110.666534 103.324753 lh
10_595 131.612564 110.454521 102.078766 lh
10_596 149.201553 111.648529 103.513748 lh
10_597 131.629562 111.215523 102.045761 lh
10_598 131.734558 111.983528 101.914764 lh
10_599 149.075562 112.64653 103.702759 lh
10_600 132.011551 112.586525 101.274765 lh
10_601 148.940552 113.71553 103.869751 lh
10_602 132.150558 113.407524 101.388763 lh
10_603 148.791565 114.85553 104.047745 lh
10_604 132.345566 114.278526 101.479752 lh
10_605 148.604553 116.093529 104.321747 lh
10_606 132.568558 115.173523 101.676758 lh
10_607 132.854553 115.917526 101.585754 lh
10_608 148.050552 117.481529 104.771744 lh
10_609 133.16954 116.462532 101.18576 lh
10_610 133.269562 116.873535 101.845764 lh
10_611 132.93956 116.272522 101.924759 lh
10_612 147.516556 118.708534 104.242752 lh
10_613 146.619553 118.565529 104.834763 lh
10_614 134.804565 118.67453 101.361755 lh
10_615 134.877563 118.677536 102.122757 lh
10_616 146.259552 119.425529 103.983765 lh
10_617 140.741562 120.348534 103.081757 lh
10_618 140.083557 120.667534 102.564758 lh
10_619 139.481552 120.220535 102.983765 lh
10_620 139.20256 120.601532 102.358765 lh
10_621 138.423553 120.093529 102.782761 lh
10_622 138.142563 120.422531 102.041763 lh
10_623 137.391556 119.872536 102.525757 lh
10_624 136.651566 119.612534 102.410751 lh
10_625 135.446564 119.150536 101.640762 lh
10_626 136.776566 119.987534 101.525757 lh
10_627 147.041565 119.93853 103.390762 lh
10_628 146.14856 120.876534 102.835754 lh
10_629 145.832565 120.278534 103.305756 lh
10_630 145.13356 120.881531 102.870758 lh
10_631 144.937561 120.061531 103.555756 lh
10_632 144.098557 120.835533 102.904755 lh
